PANGAEA Sample ID	Raw reads	Raw bases	HQ Reads	HQ Bases	Avg. read length [nt]	Avg. base score	Stdev base score	HQ Reads [%]	Scaftigs >= 500nt	Total scaftig length [nt]	Max. scaftig length [nt]	Scaftigs N50	Predicted genes											
TARA_A100001515	104578876	10562466476	86631377	7766140831	90	37.53	3.38	74%	108815	119545237	96984	1156	216493											
TARA_A100001035	398181184	39702911633	371335866	34468523123	93	38.06	3.14	87%	292405	290397913	157474	994	505535											
TARA_A100001234	255740402	25388723426	226154770	20412238800	90	37.75	3.25	80%	223259	227580717	116348	1040	392456											
TARA_R100000008	84064518	8490516318	62738248	5409085351	86	37.13	3.42	64%	89292	93001527	45895	1066	174100											
TARA_B100000029	450135214	44307136749	393164825	35014779558	89	37.55	3.35	79%	514507	606331330	238780	1287	969286											
TARA_R100000005	122790156	11862752399	103217009	9322347712	90	37.44	3.36	79%	108607	124730195	100483	1230	213231											
TARA_Y100000004	208403344	21048737744	188503021	17350498434	92	37.71	3.26	82%	216451	241354680	64548	1192	432065											
TARA_B100000003	241970908	24041633151	217040159	19657849041	91	37.80	3.23	82%	209494	224931784	93543	1127	374306											
TARA_R100000030	79866814	8066548214	66245846	5911147224	89	37.49	3.40	73%	62949	68908090	52582	1154	123893											
TARA_B100000035	402672664	39900606999	354661545	32248846606	91	37.64	3.31	81%	321818	329970637	79929	1046	571825											
TARA_R100000027	74303174	7164049847	51353178	4398717895	86	36.60	3.63	61%	47870	55656088	72613	1238	94462											
TARA_Y100000015	47924602	4840384802	44724459	4094378804	92	38.17	3.03	85%	48837	50445464	43474	1058	93043											
TARA_Y100000022	252063110	25120977094	231266779	21293071317	92	37.95	3.15	85%	215073	215891404	114457	1015	382487											
TARA_Y100000310	532737716	53806509316	460678121	40857089374	89	37.37	3.45	76%	415187	499927109	137305	1340	834176											
TARA_B100000315	399390808	39444108747	353519208	31673505619	90	37.38	3.38	80%	324524	384487678	226717	1300	599846											
TARA_R100000084	94242878	9090103405	76341495	6819526367	89	37.35	3.39	75%	80476	81346176	166886	1002	152875											
TARA_B100000073	420102752	41230623053	371929687	32888132398	88	37.63	3.38	80%	313451	337748465	70689	1124	574928											
TARA_Y100000296	157533556	15910889156	141386981	12700488823	90	37.44	3.35	80%	130636	161772794	793528	1395	264690											
TARA_Y100000294	260588896	25645642639	226744396	20229086781	89	37.37	3.39	79%	188318	218824771	167433	1249	343270											
TARA_R100000081	114048860	11053756844	94024543	8429874383	90	37.40	3.37	76%	95472	94747858	89522	1001	179592											
TARA_Y100000289	70533644	7123898044	65622920	6007669036	92	38.19	3.02	84%	82754	83092058	53378	1019	156554											
TARA_Y100000287	262268056	26054463799	235650989	21624283322	92	37.74	3.26	83%	207550	200143804	82812	965	363959											
TARA_R100000482	90832226	8766294338	72620761	6482225763	89	37.31	3.41	74%	81544	79053090	55369	967	153265											
TARA_B100000085	338044892	33517466310	310834821	28692681530	92	37.79	3.26	86%	289432	304446206	79161	1104	520663											
TARA_Y100000034	183842664	18568109064	167664600	15258308769	91	37.70	3.26	82%	209651	252387871	593644	1343	425236											
TARA_Y100000031	277574946	27336542903	243015035	21863046972	90	37.42	3.33	80%	213680	260558501	840238	1349	402296											
TARA_R100000479	114493726	11072221174	93762294	8386216672	89	37.33	3.39	76%	108689	109395012	329857	1003	207551											
TARA_Y100000033	49964608	5046425408	46396853	4237615442	91	38.08	3.07	84%	60969	64984048	53395	1106	117948											
TARA_X000000368	476921334	46921806528	407529708	36482424718	90	37.55	3.40	78%	419547	426798730	90694	1033	725424											
TARA_Y200000002	404962514	40246872757	363703213	33050958972	91	37.84	3.24	82%	380180	390957942	142140	1048	667220											
TARA_R100000458	206771952	20883967152	150435138	13220699094	88	37.36	3.48	63%	141590	137847849	86587	965	255115											
TARA_B100000287	463832998	45916814074	404332442	36495499531	90	37.77	3.27	79%	431637	463572732	89642	1132	795123											
TARA_R100000455	85317778	8275243140	76540855	7049133939	92	37.89	3.16	85%	76620	68561513	236571	858	131525											
TARA_Y100000052	56465606	5703026206	47896677	4384033842	92	38.04	3.09	77%	47352	53135041	221716	1149	89964											
TARA_B100000282	440876102	43568358343	388219450	35044844581	90	37.72	3.32	80%	290342	274135056	73423	935	495230											
TARA_R100000152	120008604	11726672103	105223442	9690627610	92	37.56	3.31	83%	124695	117074294	86629	924	219985											
TARA_B100000131	430413408	42367040837	369649573	33354896724	90	37.58	3.40	79%	333437	365341721	207397	1161	614682											
TARA_R100000149	99112476	9634818792	84189089	7648150778	91	37.40	3.38	79%	78877	79562851	237317	982	146321											
TARA_B100000123	402211598	39843761133	351029466	31732880846	90	37.82	3.25	80%	254689	241803978	143838	939	434297											
TARA_B100000161	391430950	38861304873	355804280	32482641308	91	37.86	3.25	84%	252061	236742933	134954	926	419450											
TARA_R100000406	77435642	7386668340	51449646	4319202864	84	36.57	3.64	58%	62491	70690895	64669	1224	125533											
TARA_Y100000114	181335640	18314899640	167978039	15424581813	92	37.88	3.21	84%	173122	184241368	134484	1092	332418											
TARA_B100000242	499600618	49251163083	422880216	37415337514	88	37.52	3.41	76%	284837	284105078	102475	1002	494026											
TARA_R100000234	96863350	9783198350	79317721	7114546930	90	37.58	3.37	73%	96826	96013147	56909	993	181583											
TARA_B100000214	389259730	38748915771	357543306	32780527474	92	38.00	3.15	85%	368954	347792958	112125	929	631955											
TARA_B100000212	404906778	40310023353	367066636	33700077453	92	37.94	3.16	84%	310716	311149637	203192	1003	539034											
TARA_B100000378	434938762	42206367652	359789956	31249984054	87	37.04	3.56	74%	233673	252647422	149816	1117	415057											
TARA_B000000609	324775688	32202657505	296031939	27147736134	92	37.69	3.29	84%	216738	199208958	32503	904	360521											
TARA_B000000565	336385740	32306307192	295821463	25283526505	85	37.32	3.61	78%	219873	219993081	224574	1016	376777											
TARA_B000000557	337711862	33468984338	311817516	27958060605	90	37.99	3.13	84%	269304	263988642	80955	995	461580											
TARA_B000000532	291429494	28948356295	271699742	25383818135	93	37.74	3.27	88%	242066	232557628	67621	963	411393											
TARA_R100000315	88534486	8941983086	72587123	6478596095	89	37.52	3.39	72%	82045	76135561	28421	912	148013											
TARA_Y100000401	125388218	12664210018	116374590	10404579791	89	37.95	3.23	82%	121263	116245743	51795	945	228386											
TARA_B100000405	415343134	41973344210	354436678	32062298644	90	37.27	3.43	76%	263992	258136502	50586	988	421593											
TARA_B100000408	246180126	24274527883	215982851	19610885256	91	37.35	3.41	81%	142001	135895601	51869	955	228996											
TARA_R100000322	96542160	9324189434	76757086	6786497677	88	37.00	3.54	73%	96029	112271832	368631	1241	192046											
TARA_B100000401	633099146	64356822843	574967451	53582940683	93	37.80	3.18	83%	447685	410703923	63057	906	725782											
TARA_R100001198	113406914	10951012272	92921923	8334556744	90	37.30	3.40	76%	112275	123523747	157796	1131	222082											
TARA_Y100000361	187370916	18924462516	169942521	15447773062	91	37.81	3.26	82%	186112	182409573	74957	977	348167											
TARA_B000000441	436200002	42482217834	386425592	35169441663	91	37.54	3.37	83%	232561	204636356	29695	857	364120											
TARA_B000000460	447472502	44175460384	394236908	35558991829	90	37.45	3.35	80%	243785	245588629	102155	1013	405469											
TARA_R100001230	119317304	11437314322	97138288	8699932095	90	37.27	3.42	76%	112527	107350344	68085	942	204474											
TARA_Y100000356	176516224	17828138624	159788106	14135340167	88	37.86	3.28	79%	158602	153011054	74490	953	294144											
TARA_B000000437	291527114	28898177104	253992444	22819792516	90	37.54	3.36	79%	193172	184763047	120643	955	322766											
TARA_R100000908	93801200	9043371636	74116386	6523779223	88	37.02	3.53	72%	77325	87264639	441614	1145	152304											
TARA_B000000477	151854660	16400303280	132309700	12525467969	95	37.61	3.20	76%	136056	128609590	112987	946	229715											
TARA_R100000900	87897252	8487090866	68524150	6039459192	88	36.91	3.57	71%	73916	103448302	579780	1699	166859											
TARA_B000000475	323328644	33050802869	280087895	25300379336	90	37.69	3.23	77%	266433	259434938	97068	979	450834											
TARA_R100000951	87944068	8509424692	70807902	6329322766	89	37.30	3.41	74%	84569	110363245	441273	1537	185570											
TARA_Y100000389	348440878	35192528678	310167714	26877946496	87	38.06	3.22	76%	284320	326895058	82414	1243	531744											
TARA_B100000497	164115206	17724442248	147953808	14235164008	96	37.90	3.01	80%	242425	255420170	126166	1086	426315											
TARA_Y100000385	348641518	35212793318	313778137	27609143505	88	37.81	3.31	78%	347803	414222904	325913	1330	652087											
TARA_R100000995	84971190	8582090190	57370321	4932945843	86	37.12	3.44	57%	65904	65984323	38343	1006	126487											
TARA_Y100000748	342310208	34573331008	304601956	27756443200	91	37.78	3.27	80%	279873	295888043	225771	1087	491270											
TARA_B100000482	264574882	26866778358	221316099	19500359293	88	37.61	3.28	73%	178094	185495590	48630	1079	300567											
TARA_Y100000746	285441804	28829622204	253866508	22140633970	87	37.85	3.33	77%	253691	267275579	55401	1102	436784											
TARA_B100000470	378166292	38194795492	344191636	31539717601	92	37.64	3.24	83%	243858	237684782	219416	968	395311											
TARA_Y100000758	362537996	36616337596	315706530	27821770705	88	37.39	3.42	76%	264175	259211606	81877	987	427088											
TARA_R100000988	89633440	8587562971	68870875	5994817892	87	36.93	3.57	70%	89440	100339733	426726	1147	174330											
TARA_Y100000741	339294496	34268744096	309641827	28264939848	91	38.06	3.15	82%	316487	316237570	182393	995	561450											
TARA_B100000475	297158812	30061970049	239868614	20885615245	87	37.42	3.37	69%	195542	197288922	81574	1022	327785											
TARA_Y100000739	356407066	35997113666	315169105	27569252532	87	37.60	3.44	77%	273730	291090674	117166	1107	471609											
TARA_A200000159	178519830	18566062320	155740903	14459422208	93	37.59	2.51	78%	197580	212017580	205845	1107	346347											
TARA_A200000113	221166612	23001327648	180239988	15716522790	87	37.03	2.88	68%	197856	224889436	81076	1232	357631											
TARA_R100001039	82514066	7826111402	62409248	5325793102	85	36.24	3.62	68%	57232	79580355	201655	1723	118585											
TARA_Y100000782	323147858	32637933658	282498941	25489859220	90	37.56	3.25	78%	134359	186489327	993775	1727	270420											
TARA_B100000446	390420474	38517998890	342978924	30711658338	90	37.28	3.39	80%	186673	225853098	532761	1330	342282											
TARA_Y100000780	399435314	40342966714	342368261	30549362586	89	37.27	3.41	76%	230871	281056570	656135	1325	423508											
TARA_R100001015	94440814	9201868976	79610319	7216454500	91	37.35	3.39	78%	110973	112707966	157897	1021	206000											
TARA_Y100000768	385821684	38967990084	347551295	32040657099	92	37.97	3.17	82%	396425	402828308	225769	1019	694498											
TARA_B100000459	266216678	25836775258	216710980	18728681190	86	36.96	3.51	72%	130107	130731073	108607	985	211258											
TARA_Y100000766	356756508	36032407308	319886685	29324966569	92	37.84	3.23	81%	356424	369322560	98427	1044	613473											
TARA_R100001082	100785502	10179335702	76291076	6578228417	86	37.20	3.40	65%	84117	87350570	58393	1056	162158											
TARA_B100000427	328549726	32677067598	297613242	27326496444	92	37.96	3.10	84%	346087	343163386	108815	994	599925											
TARA_R100001086	193526010	18379936097	154135333	13445221988	87	37.16	3.51	73%	132799	145683853	125743	1143	261062											
TARA_B100000508	288646988	28522248146	252526354	22852998101	90	37.55	3.32	80%	163084	164939012	452224	991	282617											
TARA_R100001079	79974260	7788198206	65533888	5902383443	90	37.11	3.48	76%	81276	84693064	172428	1062	154232											
TARA_B100000424	420562172	41540085137	372821827	33405020715	90	37.73	3.29	80%	285958	277080894	91317	963	503452											
TARA_R100001129	117740296	11486472111	98228157	8835608569	90	37.40	3.31	77%	120678	144404810	191929	1304	248661											
TARA_Y100000817	335001258	33835127058	300665228	27495788110	91	37.79	3.27	81%	316922	307269447	61221	963	546440											
TARA_B100000519	435687686	42381517492	366259362	32377316140	88	37.12	3.46	76%	255481	277282623	157859	1134	448074											
TARA_Y100000814	329301428	33259444228	277200735	23226320633	84	37.21	3.65	70%	234854	249958881	83225	1101	409382											
TARA_B100000749	449280384	44318819578	393423759	35302778925	90	37.32	3.37	80%	284531	291373133	289644	1043	476244											
TARA_Y100000815	391269294	39518198694	315908899	26420646079	84	36.96	3.60	67%	276105	320777055	228357	1267	504180											
TARA_R100001126	100296296	9701293518	83152366	7421078161	89	37.25	3.39	76%	93248	106063061	203016	1201	183848											
TARA_Y100000816	389948050	39384753050	337877022	30271311208	90	37.70	3.32	77%	340027	328375551	83628	963	590424											
TARA_B100000513	462965648	45277786464	388975984	34382334103	88	37.19	3.46	76%	116750	110278656	50226	932	186138											
TARA_Y100000813	316066062	31922672262	282014243	25502470596	90	37.66	3.31	80%	211478	200121746	107105	926	354024											
TARA_Y100000996	405732590	40978991590	339261049	30125930317	89	37.57	3.40	74%	373022	375376907	141413	1012	656614											
TARA_B100000530	459198398	45255678211	395736688	35425470659	90	37.49	3.36	78%	288395	281664578	85351	982	478876											
TARA_Y100000994	311568118	31468379918	281844348	25648159401	91	37.79	3.27	82%	257726	268634235	84866	1068	446668											
TARA_B100000745	485136180	46858769072	402876939	35153765045	87	37.10	3.56	75%	236504	238330343	129193	1012	395962											
TARA_Y100001001	303977220	30701699220	264808358	22358060560	84	37.14	3.51	73%	169162	206935552	331872	1407	312152											
TARA_R100001224	76302668	7267701393	61903024	5432753948	88	37.26	3.48	75%	75685	85582816	106729	1202	152797											
TARA_Y100000992	322141554	32536296954	293031416	26933797038	92	37.98	3.18	83%	292042	270358601	90459	910	499130											
TARA_B100000524	475566746	46318307578	398525486	34925507767	88	37.38	3.48	75%	226772	211100721	236368	919	371233											
TARA_Y100000991	287482570	29035739570	259479080	23535305068	91	37.84	3.26	81%	206242	205724076	125331	1004	351958											
TARA_R100000544	88803386	8969141986	60797226	5149902104	85	36.91	3.51	57%	33952	34097691	60012	1000	61985											
TARA_B100000767	444691772	43581170199	385066279	34482482924	90	37.56	3.37	79%	307782	353920278	152277	1249	544579											
TARA_B100000768	269822568	26780889161	240625766	21810179451	91	37.70	3.24	81%	225962	248080488	102214	1150	381888											
TARA_B100000780	442894022	43617844011	385331682	34478168591	89	37.54	3.33	79%	286729	296112112	64944	1050	457906											
TARA_R100001377	92278414	9320119814	61089371	5202094899	85	36.99	3.48	56%	62646	63651388	76581	1044	112511											
TARA_B100000795	437597746	42470643502	363905524	32043181718	88	37.20	3.52	75%	277195	303758062	136646	1156	445682											
TARA_B100000809	408885864	40071662691	354624236	31700368643	89	37.34	3.40	79%	293282	358663390	117513	1402	533272											
TARA_B100000787	402217188	39606666923	351516889	31492540512	90	37.63	3.32	80%	180494	192797441	96095	1101	303810											
TARA_X000001036	416553274	41254561541	370409251	34345204309	93	37.84	3.26	83%	457844	490697039	105143	1115	810632											
TARA_X000000950	489617426	48063357255	432720305	39148193600	90	37.55	3.40	81%	330824	435780263	350036	1578	663884											
TARA_B100001059	338611726	33510959943	304717891	26883150722	88	37.83	3.15	80%	326287	371371195	294869	1213	591681											
TARA_B100001063	274983484	27446848797	258327423	23963436487	93	37.92	3.16	87%	312589	345217013	403934	1152	569784											
TARA_B100001057	460018862	45548660624	418953169	38904318380	93	37.73	3.32	85%	508466	596922147	207677	1278	959626											
